question_id,subject,concept,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option
P1,Aptitude,Percentage,Easy,,127,141,116,113,C
P2,Aptitude,Percentage,Easy,,29,49,36,26,A
P3,Aptitude,Percentage,Easy,,79,60,43,49,D
P4,Aptitude,Percentage,Easy,,136,142,120,121,D
P5,Aptitude,Percentage,Easy,,21,48,29,37,C
P6,Aptitude,Percentage,Easy,,38,39,52,69,B
P7,Aptitude,Percentage,Easy,,134,141,170,150,B
P8,Aptitude,Percentage,Easy,,102,119,96,108,A
P9,Aptitude,Percentage,Easy,,122,111,116,141,C
P10,Aptitude,Percentage,Easy,,44,29,31,47,C
P11,Aptitude,Percentage,Easy,,63,86,66,71,C
P12,Aptitude,Percentage,Easy,,36,45,49,62,B
P13,Aptitude,Percentage,Easy,,60,69,52,80,A
P14,Aptitude,Percentage,Easy,,100,71,78,86,C
P15,Aptitude,Percentage,Easy,,135,139,144,160,B
P16,Aptitude,Percentage,Easy,,29,30,57,35,B
P17,Aptitude,Percentage,Easy,,94,65,61,77,B
P18,Aptitude,Percentage,Easy,,97,123,103,87,A
P19,Aptitude,Percentage,Easy,,23,51,37,22,A
P20,Aptitude,Percentage,Easy,,40,54,31,24,C
P21,Aptitude,Percentage,Medium,,141,122,120,116,C
P22,Aptitude,Percentage,Medium,,32,44,30,57,A
P23,Aptitude,Percentage,Medium,,143,140,152,161,A
P24,Aptitude,Percentage,Medium,,140,144,158,137,A
P25,Aptitude,Percentage,Medium,,101,102,116,132,B
P26,Aptitude,Percentage,Medium,,26,40,45,24,A
P27,Aptitude,Percentage,Medium,,77,85,69,98,A
P28,Aptitude,Percentage,Medium,,63,93,78,55,A
P29,Aptitude,Percentage,Medium,,18,28,55,36,B
P30,Aptitude,Percentage,Medium,,39,20,52,29,D
P31,Aptitude,Percentage,Medium,,74,67,95,66,B
P32,Aptitude,Percentage,Medium,,35,62,32,37,A
P33,Aptitude,Percentage,Medium,,122,90,108,99,D
P34,Aptitude,Percentage,Medium,,89,75,110,80,D
P35,Aptitude,Percentage,Medium,,133,102,113,110,D
P36,Aptitude,Percentage,Medium,,122,129,120,144,A
P37,Aptitude,Percentage,Medium,,118,102,113,98,B
P38,Aptitude,Percentage,Medium,,107,115,139,112,D
P39,Aptitude,Percentage,Medium,,45,64,41,50,A
P40,Aptitude,Percentage,Medium,,45,16,24,35,C
P41,Aptitude,Percentage,Hard,,91,87,106,116,A
P42,Aptitude,Percentage,Hard,,97,116,131,106,D
P43,Aptitude,Percentage,Hard,,107,112,125,136,B
P44,Aptitude,Percentage,Hard,,149,137,138,164,C
P45,Aptitude,Percentage,Hard,,75,99,71,88,A
P46,Aptitude,Percentage,Hard,,62,67,88,80,B
P47,Aptitude,Percentage,Hard,,167,144,145,149,C
P48,Aptitude,Percentage,Hard,,113,89,99,80,B
P49,Aptitude,Percentage,Hard,,123,141,112,104,C
P50,Aptitude,Percentage,Hard,,28,37,15,20,D
P51,Aptitude,Percentage,Hard,,78,67,88,66,B
P52,Aptitude,Percentage,Hard,,53,49,44,74,B
P53,Aptitude,Percentage,Hard,,122,130,145,126,D
P54,Aptitude,Percentage,Hard,,50,31,60,37,D
P55,Aptitude,Percentage,Hard,,27,46,23,34,A
R1,Aptitude,Ratio & Proportion,Easy,,119,93,101,91,B
R2,Aptitude,Ratio & Proportion,Easy,,86,70,65,82,B
R3,Aptitude,Ratio & Proportion,Easy,,110,104,120,130,A
R4,Aptitude,Ratio & Proportion,Easy,,43,40,34,62,B
R5,Aptitude,Ratio & Proportion,Easy,,116,142,125,113,A
R6,Aptitude,Ratio & Proportion,Easy,,134,155,144,162,C
R7,Aptitude,Ratio & Proportion,Easy,,78,108,81,77,A
R8,Aptitude,Ratio & Proportion,Easy,,123,98,84,94,D
R9,Aptitude,Ratio & Proportion,Easy,,163,137,127,147,B
R10,Aptitude,Ratio & Proportion,Easy,,162,140,136,150,B
R11,Aptitude,Ratio & Proportion,Easy,,63,78,72,102,C
R12,Aptitude,Ratio & Proportion,Easy,,93,90,99,113,A
R13,Aptitude,Ratio & Proportion,Easy,,41,71,46,54,C
R14,Aptitude,Ratio & Proportion,Easy,,113,100,125,101,D
R15,Aptitude,Ratio & Proportion,Easy,,13,50,21,29,C
R16,Aptitude,Ratio & Proportion,Easy,,107,95,83,75,C
R17,Aptitude,Ratio & Proportion,Easy,,161,130,138,145,C
R18,Aptitude,Ratio & Proportion,Easy,,57,76,61,87,C
R19,Aptitude,Ratio & Proportion,Easy,,66,76,92,68,D
R20,Aptitude,Ratio & Proportion,Easy,,120,139,129,145,C
R21,Aptitude,Ratio & Proportion,Medium,,46,64,44,58,A
R22,Aptitude,Ratio & Proportion,Medium,,91,114,86,79,C
R23,Aptitude,Ratio & Proportion,Medium,,53,64,55,72,C
R24,Aptitude,Ratio & Proportion,Medium,,133,112,104,97,C
R25,Aptitude,Ratio & Proportion,Medium,,38,45,61,35,A
R26,Aptitude,Ratio & Proportion,Medium,,157,140,155,130,B
R27,Aptitude,Ratio & Proportion,Medium,,35,27,20,55,B
R28,Aptitude,Ratio & Proportion,Medium,,100,103,95,121,A
R29,Aptitude,Ratio & Proportion,Medium,,37,53,28,50,A
R30,Aptitude,Ratio & Proportion,Medium,,93,126,108,98,D
R31,Aptitude,Ratio & Proportion,Medium,,174,149,151,141,B
R32,Aptitude,Ratio & Proportion,Medium,,114,87,91,96,C
R33,Aptitude,Ratio & Proportion,Medium,,61,70,53,47,C
R34,Aptitude,Ratio & Proportion,Medium,,81,104,80,96,A
R35,Aptitude,Ratio & Proportion,Medium,,149,118,122,125,C
R36,Aptitude,Ratio & Proportion,Medium,,33,55,38,35,D
R37,Aptitude,Ratio & Proportion,Medium,,42,65,52,43,D
R38,Aptitude,Ratio & Proportion,Medium,,127,94,103,116,C
R39,Aptitude,Ratio & Proportion,Medium,,31,61,41,39,D
R40,Aptitude,Ratio & Proportion,Medium,,69,39,54,40,D
R41,Aptitude,Ratio & Proportion,Hard,,83,88,101,81,A
R42,Aptitude,Ratio & Proportion,Hard,,58,33,22,28,D
R43,Aptitude,Ratio & Proportion,Hard,,104,130,120,107,D
R44,Aptitude,Ratio & Proportion,Hard,,146,170,161,145,A
R45,Aptitude,Ratio & Proportion,Hard,,35,42,18,21,D
R46,Aptitude,Ratio & Proportion,Hard,,57,49,70,44,B
R47,Aptitude,Ratio & Proportion,Hard,,23,30,40,46,B
R48,Aptitude,Ratio & Proportion,Hard,,51,54,56,84,B
R49,Aptitude,Ratio & Proportion,Hard,,152,171,148,145,C
R50,Aptitude,Ratio & Proportion,Hard,,69,50,58,87,C
R51,Aptitude,Ratio & Proportion,Hard,,29,52,25,40,A
R52,Aptitude,Ratio & Proportion,Hard,,78,71,64,96,B
R53,Aptitude,Ratio & Proportion,Hard,,162,139,146,138,B
R54,Aptitude,Ratio & Proportion,Hard,,35,38,64,48,B
R55,Aptitude,Ratio & Proportion,Hard,,140,133,126,152,B
AVG001,Aptitude,Averages,Easy,The average of 5 numbers is 18. What is their sum?,101,114,86,76,C
AVG002,Aptitude,Averages,Easy,Find the average of the first 10 natural numbers.,57,62,49,85,A
AVG003,Aptitude,Averages,Easy,The average age of 4 students is 15 years. What is the total of their ages?,101,131,111,126,C
AVG004,Aptitude,Averages,Easy,"The average of 6 numbers is 12. If one number is removed, the average becomes 10. Find the removed number.",143,163,147,137,A
AVG005,Aptitude,Averages,Easy,"Find the average of numbers: 8, 12, 16, 20.",118,137,145,125,D
