question_id,subject,topic,difficulty_level,question_text,option_a,option_b,option_c,option_d,correct_option,expected_time_sec
Q00001,Aptitude,Percentages,1,What is 25% of 260?,75,65,55,85,B,20
Q00002,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,21,23,19,B,30
Q00003,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 65, how many are boys?",41,39,43,37,B,30
Q00004,Aptitude,Time & Work,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,7.2,9.2,6.2,8.2,A,60
Q00005,Aptitude,Percentages,1,What is 25% of 260?,55,65,85,75,B,20
Q00006,Aptitude,Averages,3,The average of 7 numbers is 19. What is their sum?,128,138,143,133,D,45
Q00007,Aptitude,Time & Work,4,A can do a work in 18 days and B in 27 days. How many days will they take together?,10.8,11.8,9.8,12.8,A,60
Q00008,Aptitude,Percentages,1,What is 25% of 120?,30,40,20,50,A,20
Q00009,Aptitude,Averages,3,The average of 4 numbers is 16. What is their sum?,74,64,59,69,B,45
Q00010,Aptitude,Averages,3,The average of 4 numbers is 29. What is their sum?,116,111,121,126,A,45
Q00011,Aptitude,Averages,3,The average of 7 numbers is 25. What is their sum?,180,170,175,185,C,45
Q00012,Aptitude,Percentages,1,What is 25% of 120?,30,50,40,20,A,20
Q00013,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",14,12,10,16,B,30
Q00014,Aptitude,Percentages,1,What is 25% of 200?,60,50,40,70,B,20
Q00015,Aptitude,Averages,3,The average of 5 numbers is 15. What is their sum?,75,80,85,70,A,45
Q00016,Aptitude,Averages,3,The average of 6 numbers is 17. What is their sum?,97,112,102,107,C,45
Q00017,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",37,32,27,42,B,90
Q00018,Aptitude,Percentages,1,What is 25% of 180?,45,65,55,35,A,20
Q00019,Aptitude,Averages,3,The average of 5 numbers is 25. What is their sum?,120,130,125,135,C,45
Q00020,Aptitude,Mensuration,5,"If the radius of a circle is increased by 15%, the percentage increase in its area is approximately:",32,37,42,27,A,90
Q00021,Aptitude,Averages,3,The average of 5 numbers is 19. What is their sum?,95,100,105,90,A,45
Q00022,Aptitude,Averages,3,The average of 7 numbers is 18. What is their sum?,136,121,126,131,C,45
Q00023,Aptitude,Ratio & Proportion,2,"If the ratio of boys to girls is 3:2 and total students are 45, how many are boys?",29,31,25,27,D,30
Q00024,Aptitude,Percentages,1,What is 25% of 180?,45,35,55,65,A,20
Q00025,Aptitude,Averages,3,The average of 5 numbers is 27. What is their sum?,130,140,145,135,D,45
Q00026,Aptitude,Averages,3,The average of 4 numbers is 28. What is their sum?,107,122,112,117,C,45
Q00027,Aptitude,Mensuration,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",26,31,16,21,D,90
Q00028,Aptitude,Percentages,1,What is 25% of 260?,85,55,65,75,C,20
Q00029,Aptitude,Percentages,1,What is 25% of 260?,75,55,65,85,C,20
Q00030,Aptitude,Mensuration,5,"If the radius of a circle is increased by 5%, the percentage increase in its area is approximately:",15,5,20,10,D,90
